anna_karenina_en.txt
--------------------
350276 words, 1531808 characters, 13593 unique words, 53 unique characters
Overall: 4.4 avg word length, 4 median word length ('only'), 8 p90 word length ('external')
Unique words: 7.6 avg word length, 7 median word length ('shouted'), 11 p90 word length ('speculators')

Words by length                    Words by frequency                 Words sorted alphabetically        Character frequencies
side-whiskers 1                    beside 86                          amused                             
comprehension 5                    friends 86                         amusement                          
sleeplessness 1                    quickly 86                         amusements                         
eventualities 1                    vronsky’s 86                       amuses                             
thoughtlessly 1                    leave 85                           amusing                            
contingencies 3                    either 85                          amusingly                          
circumspectly 1                    change 85                          an                                 
demonstrating 1                    figure 85                          analysis                           
contemplating 1                    fell 85                            analyze                            
materialistic 2                    during 85                          analyzing                          
terre-à-terre 2                    utterly 84                         ancestors                          
reprehensible 2                    hat 84                             anchor                             
magnanimously 1                    times 84                           ancient                            
long-standing 1                    late 84                            and                                
perseveringly 1                    years 83                           andreevna                          
agriculturist 1                    aware 83                           andrey                             
advance-money 1                    lady 83                            anecdote                           
incontestable 5                    itself 82                          anecdotes                          
deteriorating 1                    doubt 82                           anew                               
rocking-chair 1                    waiting 82                         angel                              
vassiltchikov 1                    night 82                           angels                             
revolutionize 1                    anna’s 82                          anger                              
disadvantages 2                    talked 82                          angered                            
misunderstood 3                    different 82                       anglaise                           
impracticable 1                    book 82                            angle                              
theoretically 3                    french 81                          angles                             
intrinsically 1                    ideas 81                           angling                            
everything’ll 1                    knowing 81                         angrily                            
unnaturalness 3                    sound 81                           angry                              
irrepressibly 1                    drawing-room 80                    anguish                            
communication 9                    business 80                        animal                             
accessibility 1                    sight 79                           animated                           
inevitability 3                    merely 79                          animation                          
light-colored 1                    nurse 79                           anita                              
compassionate 1                    particularly 79                    anitchkin                          
posting-fares 1                    peace 79                           ankles                             
manufacturing 2                    lay 79                             anna                               
discomforting 2                    awful 78                           anna’s                             
dolgovushin’s 1                    till 78                            annie                              
